[2026-03-10 13:26:15] === 会话开始 ===
[2026-03-10 13:26:15] ✅ 添加模板: bolt_reference (110 个特征点)
[2026-03-10 13:26:15] 💾 特征可视化已保存: data/inspection/template_bolt_reference_features.jpg
[2026-03-10 13:26:16] ✅ 摄像头已打开
[2026-03-10 13:26:53] 🎯 检测到: bolt_reference | 置信度: 40.00% | 匹配点: 10 | 位置: (6,104) 尺寸: 3x3
[2026-03-10 13:26:53] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:26:53] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:26:54] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:26:54] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:26:54] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:26:55] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:26:55] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:26:55] 🎯 检测到: bolt_reference | 置信度: 35.29% | 匹配点: 17 | 位置: (90,315) 尺寸: 161x334
[2026-03-10 13:26:55] 🎯 检测到: bolt_reference | 置信度: 35.29% | 匹配点: 17 | 位置: (5,101) 尺寸: 3x3
[2026-03-10 13:26:56] 🎯 检测到: bolt_reference | 置信度: 35.29% | 匹配点: 17 | 位置: (5,101) 尺寸: 3x3
[2026-03-10 13:26:56] 🎯 检测到: bolt_reference | 置信度: 35.29% | 匹配点: 17 | 位置: (5,101) 尺寸: 3x3
[2026-03-10 13:26:56] 🎯 检测到: bolt_reference | 置信度: 35.29% | 匹配点: 17 | 位置: (5,101) 尺寸: 3x3
[2026-03-10 13:26:56] 🎯 检测到: bolt_reference | 置信度: 35.29% | 匹配点: 17 | 位置: (5,101) 尺寸: 3x3
[2026-03-10 13:26:57] 🎯 检测到: bolt_reference | 置信度: 35.29% | 匹配点: 17 | 位置: (5,101) 尺寸: 3x3
[2026-03-10 13:26:57] 🎯 检测到: bolt_reference | 置信度: 35.29% | 匹配点: 17 | 位置: (5,101) 尺寸: 3x3
[2026-03-10 13:26:57] 🎯 检测到: bolt_reference | 置信度: 38.89% | 匹配点: 18 | 位置: (88,313) 尺寸: 160x334
[2026-03-10 13:26:58] 🎯 检测到: bolt_reference | 置信度: 38.89% | 匹配点: 18 | 位置: (88,313) 尺寸: 160x334
[2026-03-10 13:26:58] 🎯 检测到: bolt_reference | 置信度: 38.89% | 匹配点: 18 | 位置: (88,313) 尺寸: 160x334
[2026-03-10 13:26:58] 🎯 检测到: bolt_reference | 置信度: 38.89% | 匹配点: 18 | 位置: (88,313) 尺寸: 160x334
[2026-03-10 13:26:58] 🎯 检测到: bolt_reference | 置信度: 38.89% | 匹配点: 18 | 位置: (88,313) 尺寸: 160x334
[2026-03-10 13:26:59] 🎯 检测到: bolt_reference | 置信度: 38.89% | 匹配点: 18 | 位置: (88,313) 尺寸: 160x334
[2026-03-10 13:26:59] 🎯 检测到: bolt_reference | 置信度: 38.89% | 匹配点: 18 | 位置: (88,313) 尺寸: 160x334
[2026-03-10 13:26:59] 🎯 检测到: bolt_reference | 置信度: 38.89% | 匹配点: 18 | 位置: (88,313) 尺寸: 160x334
[2026-03-10 13:26:59] 🎯 检测到: bolt_reference | 置信度: 38.89% | 匹配点: 18 | 位置: (88,313) 尺寸: 160x334
[2026-03-10 13:27:00] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:00] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:04] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,313) 尺寸: 157x334
[2026-03-10 13:27:05] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:05] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:05] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:05] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:06] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:06] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:06] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:06] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:07] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:07] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:07] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:08] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:08] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:08] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:08] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:09] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:09] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:09] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:09] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:10] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:10] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:10] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:10] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:11] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:11] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:11] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:12] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
